Region,Species,Population,Species Category,Behavior,Habitat Preference,Trophic Level,Water Temperature (Â°C),Nutrient Levels
Eastern Reef,Jellyfish,28,Endemic,Solitary,Shallow,Herbivore,27.524969755108092,0.7151444032188355
Eastern Reef,Crab,78,Invasive,Solitary,Reef Crest,Carnivore,25.212078468329565,0.5166163961568835
Western Reef,Crab,63,Endemic,Schooling,Reef Crest,Omnivore,28.72435334463068,0.5585517848155838
Eastern Reef,Coral,38,Endemic,Solitary,Deep,Herbivore,23.442363413026207,0.8221395947979481
Southern Reef,Crab,7,Invasive,Solitary,Deep,Carnivore,23.09895614207631,0.3316563924638699
Eastern Reef,Crab,95,Invasive,Schooling,Deep,Carnivore,23.489999584304314,0.12542260890083226
Eastern Reef,Coral,23,Invasive,Solitary,Reef Crest,Carnivore,24.713427831416297,0.7113432287032483
Western Reef,Crab,40,Endemic,Solitary,Deep,Omnivore,23.109766740651565,0.28111510263771977
Western Reef,Coral,88,Invasive,Solitary,Reef Crest,Carnivore,26.11680849803259,0.5147875817976304
Western Reef,Fish,71,Endemic,Aggressive,Shallow,Herbivore,23.91415700211002,0.7966072862423332
Southern Reef,Crab,20,Invasive,Solitary,Reef Crest,Omnivore,25.769022872646154,0.468661989788832
Southern Reef,Fish,35,Invasive,Solitary,Shallow,Carnivore,28.799757156258295,0.45667219201851084
Western Reef,Coral,29,Invasive,Aggressive,Deep,Omnivore,22.115117420003518,0.77745286945823
Eastern Reef,Crab,51,Invasive,Schooling,Shallow,Omnivore,26.061903845326142,0.8998943165043615
Southern Reef,Crab,79,Invasive,Solitary,Reef Crest,Omnivore,25.08129111519171,0.21784090293492098
Northern Reef,Crab,96,Endemic,Schooling,Shallow,Carnivore,28.714474498206858,0.6683847011310978
Eastern Reef,Jellyfish,1,Endemic,Schooling,Shallow,Omnivore,27.77702404490571,0.8942947329511014
Southern Reef,Jellyfish,75,Invasive,Aggressive,Reef Crest,Herbivore,25.104186947782846,0.26892638271881897
Southern Reef,Crab,40,Invasive,Aggressive,Shallow,Omnivore,28.664356997967495,0.8373501375476239
Northern Reef,Fish,50,Endemic,Schooling,Reef Crest,Herbivore,23.529334457283866,0.6156527350375505
Western Reef,Crab,31,Invasive,Schooling,Shallow,Omnivore,21.445082513110304,0.8172311133435889
Northern Reef,Fish,33,Endemic,Schooling,Shallow,Carnivore,29.282489788231253,0.8172391938459368
Western Reef,Jellyfish,97,Endemic,Aggressive,Shallow,Herbivore,27.492355117492494,0.48803533689317946
Southern Reef,Crab,40,Invasive,Aggressive,Deep,Carnivore,23.632071649872934,0.35262240111100507
Eastern Reef,Jellyfish,70,Endemic,Schooling,Shallow,Omnivore,26.94783032893886,0.1644892929616253
Western Reef,Crab,34,Invasive,Solitary,Shallow,Omnivore,21.134516016653198,0.3998577151889391
Western Reef,Fish,32,Endemic,Schooling,Shallow,Herbivore,20.401916072305397,0.1714498407235472
Southern Reef,Jellyfish,31,Invasive,Aggressive,Deep,Herbivore,21.243967706306627,0.621276114887986
Northern Reef,Coral,67,Invasive,Aggressive,Deep,Carnivore,23.634153934624678,0.41314775644075274
Western Reef,Crab,23,Invasive,Solitary,Shallow,Herbivore,25.23215264363317,0.8165728837433848
Northern Reef,Jellyfish,95,Endemic,Aggressive,Deep,Omnivore,28.736192703057277,0.22665133112143743
Western Reef,Fish,53,Endemic,Schooling,Shallow,Carnivore,20.69343004497334,0.34937401557884995
Northern Reef,Jellyfish,99,Invasive,Aggressive,Deep,Herbivore,28.90119726013657,0.7971762032307271
Western Reef,Fish,79,Invasive,Aggressive,Reef Crest,Herbivore,25.984452002443,0.5931750204745294
Western Reef,Jellyfish,26,Endemic,Solitary,Shallow,Herbivore,27.316346638217343,0.6582453891678542
Eastern Reef,Fish,57,Invasive,Aggressive,Deep,Carnivore,21.295252160742706,0.6882100040480941
Eastern Reef,Fish,77,Invasive,Solitary,Shallow,Omnivore,23.649427774884224,0.7273498638071499
Western Reef,Coral,10,Endemic,Schooling,Deep,Omnivore,29.74602344165568,0.5598239127021029
Southern Reef,Coral,60,Invasive,Solitary,Shallow,Carnivore,28.101923899084547,0.33118044105244016
Western Reef,Jellyfish,95,Endemic,Schooling,Shallow,Carnivore,21.288715289626214,0.8744280036518054
Eastern Reef,Jellyfish,74,Invasive,Aggressive,Reef Crest,Herbivore,26.77921342790532,0.1018657597606854
Western Reef,Crab,62,Endemic,Solitary,Deep,Herbivore,27.390842278260966,0.7690861365576004
Southern Reef,Crab,72,Endemic,Schooling,Reef Crest,Carnivore,27.414178695090897,0.6086167566476489
Eastern Reef,Fish,13,Endemic,Schooling,Shallow,Carnivore,20.862403990894755,0.2374310466686752
Southern Reef,Fish,13,Endemic,Schooling,Reef Crest,Omnivore,26.802601843798797,0.853879359253153
Eastern Reef,Crab,66,Endemic,Aggressive,Deep,Carnivore,29.534033340500795,0.16507548797759153
Southern Reef,Jellyfish,40,Invasive,Aggressive,Deep,Herbivore,26.073671482736938,0.23343604002210114
Northern Reef,Coral,39,Endemic,Aggressive,Shallow,Carnivore,22.185776215132577,0.8013664814978357
Northern Reef,Fish,29,Invasive,Aggressive,Deep,Carnivore,21.7223083515909,0.31672195495397115
Northern Reef,Coral,7,Endemic,Solitary,Reef Crest,Omnivore,28.391226963250283,0.8774149001824464
Western Reef,Crab,32,Endemic,Solitary,Reef Crest,Carnivore,24.615402810617084,0.36624445959838026
Southern Reef,Jellyfish,63,Invasive,Schooling,Deep,Carnivore,28.070180046086044,0.5074868921004655
Western Reef,Fish,57,Invasive,Solitary,Shallow,Omnivore,20.79963694391438,0.6420743250630868
Southern Reef,Fish,77,Endemic,Solitary,Shallow,Carnivore,22.237524250654438,0.6271681338765424
Eastern Reef,Fish,18,Endemic,Aggressive,Deep,Carnivore,22.0382674823605,0.3560175979624072
Eastern Reef,Coral,23,Invasive,Aggressive,Deep,Carnivore,25.07842869692299,0.21274159910110566
Southern Reef,Fish,17,Invasive,Schooling,Deep,Herbivore,21.065907701093497,0.6749294270537108
Eastern Reef,Crab,54,Invasive,Schooling,Reef Crest,Omnivore,23.516328328533085,0.3108349094960836
Northern Reef,Crab,26,Invasive,Schooling,Reef Crest,Herbivore,21.00290858610914,0.40545213397381186
Northern Reef,Coral,78,Invasive,Aggressive,Reef Crest,Herbivore,29.3536287013985,0.8539478575600874
Northern Reef,Jellyfish,80,Invasive,Schooling,Reef Crest,Omnivore,26.530634279475795,0.48400857519356777
Northern Reef,Fish,5,Endemic,Schooling,Shallow,Carnivore,29.16617932025764,0.4067122238636357
Northern Reef,Crab,86,Endemic,Schooling,Reef Crest,Herbivore,27.573557965086756,0.4500719636555329
Eastern Reef,Jellyfish,49,Invasive,Schooling,Shallow,Omnivore,21.26913797062597,0.6419038618070068
Eastern Reef,Coral,74,Invasive,Solitary,Deep,Herbivore,26.43438622805339,0.5017528060134318
Western Reef,Coral,29,Invasive,Aggressive,Shallow,Herbivore,22.03551955171205,0.6679350788865014
Eastern Reef,Fish,46,Endemic,Aggressive,Shallow,Herbivore,23.25754386591196,0.4900471728972474
Western Reef,Jellyfish,25,Endemic,Solitary,Deep,Herbivore,27.196632007832825,0.7210343720154659
Eastern Reef,Crab,47,Invasive,Schooling,Shallow,Omnivore,24.193426565647286,0.6526013440304703
Southern Reef,Jellyfish,85,Endemic,Aggressive,Deep,Carnivore,23.016656851685045,0.8333157004989439
Southern Reef,Crab,71,Invasive,Aggressive,Reef Crest,Carnivore,24.109587143228246,0.7135416841422514
Western Reef,Crab,96,Invasive,Aggressive,Deep,Carnivore,23.803294374772406,0.8707752288241885
Northern Reef,Fish,69,Endemic,Schooling,Reef Crest,Omnivore,20.267077931835594,0.5576794821602589
Southern Reef,Crab,74,Endemic,Aggressive,Deep,Herbivore,22.241059157262274,0.4775551816408654
Northern Reef,Fish,70,Invasive,Schooling,Reef Crest,Carnivore,29.96305240142734,0.43407319268835864
Eastern Reef,Jellyfish,39,Endemic,Aggressive,Shallow,Omnivore,29.516558376909124,0.5049832162113093
Northern Reef,Fish,5,Endemic,Aggressive,Shallow,Omnivore,29.23276338923864,0.7444316943992157
Eastern Reef,Jellyfish,38,Endemic,Aggressive,Deep,Carnivore,24.4047505111617,0.7569829740648469
Eastern Reef,Crab,69,Endemic,Solitary,Shallow,Herbivore,28.84107964899503,0.29997659795497916
Eastern Reef,Jellyfish,23,Endemic,Schooling,Shallow,Herbivore,20.064183292795246,0.6758378627258849
Eastern Reef,Crab,87,Invasive,Aggressive,Deep,Herbivore,22.01053934212707,0.17453315196894517
Southern Reef,Crab,28,Endemic,Solitary,Reef Crest,Omnivore,20.173723282984454,0.46545109439457655
Eastern Reef,Fish,99,Endemic,Aggressive,Deep,Carnivore,28.320814744422044,0.5609456792957173
Southern Reef,Coral,40,Endemic,Aggressive,Shallow,Omnivore,21.127296524365146,0.3219192928880479
Western Reef,Jellyfish,63,Endemic,Schooling,Shallow,Carnivore,26.86013389192921,0.2783528604470389
Southern Reef,Jellyfish,70,Endemic,Solitary,Shallow,Omnivore,22.503842334214845,0.8207747310152709
Western Reef,Fish,72,Invasive,Aggressive,Deep,Carnivore,20.61821934344071,0.4201793886327424
Southern Reef,Coral,2,Invasive,Aggressive,Reef Crest,Omnivore,23.002287071670985,0.8240892834767165
Southern Reef,Coral,35,Invasive,Solitary,Deep,Omnivore,26.493903104014677,0.2445082213852775
Eastern Reef,Fish,99,Invasive,Aggressive,Reef Crest,Omnivore,23.44581422798466,0.5431323303482976
Eastern Reef,Fish,7,Endemic,Solitary,Shallow,Carnivore,29.615800393414123,0.5057817988631215
Eastern Reef,Coral,37,Invasive,Solitary,Deep,Herbivore,20.935064944450104,0.8872104153349828
Southern Reef,Coral,43,Endemic,Solitary,Shallow,Omnivore,24.703615325221527,0.80715657417645
Southern Reef,Jellyfish,97,Invasive,Aggressive,Shallow,Omnivore,27.932354135774755,0.549288598549454
Northern Reef,Fish,30,Endemic,Solitary,Deep,Omnivore,22.42908564148672,0.4906092649334898
Eastern Reef,Jellyfish,73,Endemic,Schooling,Shallow,Carnivore,21.22748767695802,0.5026872990464762
Southern Reef,Crab,20,Invasive,Solitary,Deep,Omnivore,22.857783739043928,0.8546417161534453
Eastern Reef,Crab,45,Invasive,Schooling,Shallow,Herbivore,23.46799128683707,0.7268932548242004
Eastern Reef,Crab,44,Endemic,Solitary,Reef Crest,Herbivore,20.339287787203144,0.3275858209830328
Eastern Reef,Coral,32,Endemic,Schooling,Reef Crest,Herbivore,28.24078499950947,0.642094135442578
Eastern Reef,Fish,85,Endemic,Solitary,Reef Crest,Herbivore,27.870627807725846,0.4670726913472619
Southern Reef,Fish,35,Invasive,Schooling,Reef Crest,Herbivore,28.409315432822943,0.3396941709236767
Eastern Reef,Jellyfish,40,Endemic,Aggressive,Deep,Herbivore,24.428923469711798,0.7318777422733869
Northern Reef,Crab,97,Endemic,Aggressive,Deep,Omnivore,28.944073387454864,0.2973757885180242
Northern Reef,Coral,44,Invasive,Aggressive,Reef Crest,Omnivore,26.85186993620854,0.24284745559441767
Western Reef,Crab,3,Invasive,Schooling,Reef Crest,Omnivore,26.31423402319125,0.6544295170527402
Western Reef,Crab,1,Endemic,Solitary,Reef Crest,Omnivore,21.96763647855436,0.6537661876162144
Eastern Reef,Crab,97,Invasive,Aggressive,Shallow,Carnivore,24.266206893424,0.4774930963960643
Western Reef,Coral,14,Endemic,Solitary,Deep,Carnivore,20.132141314022878,0.8641574467764425
Northern Reef,Fish,34,Endemic,Aggressive,Deep,Herbivore,24.049192151211283,0.4388863995288357
Western Reef,Jellyfish,34,Invasive,Aggressive,Deep,Herbivore,29.5726761502945,0.30834460768841465
Eastern Reef,Coral,9,Invasive,Solitary,Reef Crest,Carnivore,28.963077154176894,0.6560045992363561
Northern Reef,Jellyfish,2,Invasive,Solitary,Shallow,Herbivore,21.388380398418146,0.6806382130656029
Northern Reef,Coral,59,Endemic,Solitary,Shallow,Herbivore,24.77086572957173,0.24944561028538034
Western Reef,Coral,61,Endemic,Schooling,Deep,Carnivore,22.413753535523725,0.6843670953813729
Southern Reef,Jellyfish,20,Invasive,Aggressive,Deep,Omnivore,23.81374640475316,0.6834714708881415
Southern Reef,Coral,69,Endemic,Schooling,Reef Crest,Carnivore,20.553607962037702,0.7699755144944856
Western Reef,Fish,73,Invasive,Aggressive,Reef Crest,Carnivore,26.81178275082147,0.655646454773647
Southern Reef,Jellyfish,98,Endemic,Aggressive,Shallow,Carnivore,23.855176174790508,0.2773015440831208
Northern Reef,Jellyfish,28,Endemic,Solitary,Reef Crest,Omnivore,24.406023324033015,0.5636621971028019
Southern Reef,Crab,26,Endemic,Schooling,Deep,Omnivore,27.277784456500065,0.5821783110879623
Eastern Reef,Jellyfish,85,Invasive,Schooling,Shallow,Herbivore,25.792731747437767,0.8357974710872172
Southern Reef,Fish,89,Endemic,Solitary,Shallow,Herbivore,22.022322967228554,0.7926634157318007
Eastern Reef,Crab,50,Invasive,Solitary,Deep,Herbivore,26.248155732443298,0.1351716134484427
Northern Reef,Fish,50,Invasive,Schooling,Deep,Omnivore,22.08157953196025,0.7716034480296081
Southern Reef,Crab,23,Invasive,Solitary,Reef Crest,Omnivore,28.366682096901165,0.7294966439674341
Western Reef,Jellyfish,81,Endemic,Aggressive,Reef Crest,Omnivore,26.388415589412112,0.7360733809497604
Eastern Reef,Coral,49,Endemic,Schooling,Reef Crest,Herbivore,24.123753238273196,0.7889463166881686
Western Reef,Coral,82,Invasive,Solitary,Shallow,Carnivore,28.326926603716743,0.7077686155232706
Northern Reef,Crab,50,Invasive,Schooling,Reef Crest,Herbivore,28.571688497087933,0.18853250977164368
Western Reef,Fish,79,Endemic,Aggressive,Reef Crest,Herbivore,28.53561352830041,0.8510973576109809
Eastern Reef,Jellyfish,13,Invasive,Aggressive,Deep,Carnivore,29.139130837591093,0.6247677763534794
Southern Reef,Fish,3,Invasive,Schooling,Reef Crest,Carnivore,21.94398435079499,0.6381930659666589
Eastern Reef,Coral,59,Endemic,Schooling,Shallow,Herbivore,20.017426318998936,0.5677305675831338
Western Reef,Jellyfish,51,Endemic,Schooling,Reef Crest,Herbivore,28.433150415602974,0.5260462371255247
Northern Reef,Crab,17,Invasive,Solitary,Shallow,Herbivore,25.73402269649291,0.13009511626633793
Northern Reef,Jellyfish,33,Invasive,Schooling,Shallow,Omnivore,27.026226770817615,0.2003221111322077
Eastern Reef,Coral,37,Invasive,Aggressive,Deep,Herbivore,26.273277959259858,0.5792106517013786
Eastern Reef,Coral,57,Invasive,Schooling,Reef Crest,Omnivore,22.060819016338876,0.7830792069649822
Southern Reef,Fish,92,Invasive,Solitary,Reef Crest,Carnivore,26.940560173417467,0.4169987603380617
Northern Reef,Crab,67,Invasive,Schooling,Deep,Herbivore,20.466416057327578,0.108930392719578
Western Reef,Jellyfish,12,Endemic,Aggressive,Shallow,Omnivore,22.594566754310893,0.35866436841912364
Northern Reef,Fish,23,Endemic,Solitary,Deep,Herbivore,27.842478190387354,0.3814529680573835
Eastern Reef,Fish,67,Invasive,Schooling,Shallow,Herbivore,25.830499378977954,0.8356339418705395
Northern Reef,Fish,2,Endemic,Aggressive,Reef Crest,Omnivore,20.06301192571184,0.16338825207535068
Western Reef,Coral,26,Endemic,Aggressive,Deep,Herbivore,21.525390395634076,0.8027056534693794
Northern Reef,Fish,67,Endemic,Schooling,Reef Crest,Omnivore,25.615383575220065,0.24890288659703386
Eastern Reef,Jellyfish,88,Endemic,Solitary,Deep,Carnivore,28.098301431969926,0.4503122505648086
Eastern Reef,Jellyfish,14,Invasive,Schooling,Deep,Herbivore,24.17345022086222,0.5412941483653108
Western Reef,Crab,64,Endemic,Aggressive,Reef Crest,Omnivore,24.989366913332038,0.42982025919861
Southern Reef,Jellyfish,94,Endemic,Aggressive,Reef Crest,Carnivore,22.503853565929937,0.7201281847045532
Southern Reef,Coral,67,Endemic,Schooling,Reef Crest,Herbivore,26.8017185473146,0.5672767681651627
Northern Reef,Fish,79,Endemic,Aggressive,Reef Crest,Omnivore,29.032535209998528,0.46922277421697933
Eastern Reef,Coral,29,Endemic,Schooling,Reef Crest,Herbivore,22.887770453877387,0.7711510414135362
Southern Reef,Fish,53,Invasive,Solitary,Shallow,Carnivore,28.42182792841778,0.7154585372610509
Eastern Reef,Crab,3,Invasive,Schooling,Shallow,Herbivore,23.65856836778598,0.7283169774698325
Northern Reef,Fish,5,Endemic,Aggressive,Reef Crest,Herbivore,26.86021486963952,0.17263420563964704
Northern Reef,Crab,53,Invasive,Solitary,Deep,Carnivore,26.807565765166984,0.2945436668221121
Southern Reef,Jellyfish,14,Invasive,Schooling,Deep,Carnivore,28.321330190620202,0.24670137185126864
Northern Reef,Coral,87,Endemic,Schooling,Deep,Herbivore,21.751591499136406,0.8197537473802553
Northern Reef,Jellyfish,54,Endemic,Aggressive,Shallow,Omnivore,28.139824388484698,0.16394520358745526
Western Reef,Crab,46,Endemic,Schooling,Reef Crest,Carnivore,21.472607610254865,0.14145071432602274
Eastern Reef,Crab,55,Invasive,Schooling,Shallow,Omnivore,24.403922454231974,0.81675935162438
Southern Reef,Fish,88,Invasive,Aggressive,Deep,Herbivore,24.706783212966528,0.2513746525060707
Eastern Reef,Fish,41,Invasive,Aggressive,Deep,Carnivore,24.141813944120287,0.15331478506935392
Northern Reef,Jellyfish,59,Invasive,Solitary,Deep,Carnivore,20.137170512742355,0.754635837712555
Eastern Reef,Crab,84,Invasive,Aggressive,Shallow,Carnivore,21.79998837690211,0.3633643084442214
Eastern Reef,Jellyfish,48,Invasive,Aggressive,Deep,Omnivore,28.866870603452927,0.16770697808513085
Western Reef,Fish,33,Invasive,Aggressive,Deep,Herbivore,26.715619129781253,0.25744195896309413
Eastern Reef,Crab,76,Invasive,Solitary,Reef Crest,Carnivore,23.195154446954295,0.8400178464115904
Northern Reef,Crab,91,Endemic,Aggressive,Reef Crest,Herbivore,23.74119261076284,0.8037671343069555
Eastern Reef,Fish,47,Invasive,Solitary,Shallow,Herbivore,20.580297252898077,0.5143638517530029
Southern Reef,Coral,30,Invasive,Schooling,Reef Crest,Herbivore,24.245221686337437,0.7104560455250573
Eastern Reef,Coral,10,Invasive,Schooling,Reef Crest,Carnivore,28.020175177887893,0.6801286976136338
Eastern Reef,Jellyfish,97,Endemic,Solitary,Shallow,Omnivore,23.030865352824186,0.684455963446291
Southern Reef,Coral,40,Endemic,Schooling,Reef Crest,Omnivore,29.992590011766005,0.610090454052513
Southern Reef,Crab,30,Invasive,Solitary,Deep,Herbivore,20.418166335097414,0.638952512189411
Southern Reef,Crab,84,Endemic,Schooling,Reef Crest,Herbivore,21.08309226463235,0.6242549250210532
Southern Reef,Jellyfish,69,Invasive,Aggressive,Reef Crest,Herbivore,22.638494569455744,0.36014775133541455
Western Reef,Jellyfish,7,Invasive,Aggressive,Shallow,Omnivore,28.041773483243624,0.8244993184052593
Southern Reef,Crab,13,Invasive,Schooling,Deep,Omnivore,26.157328059129114,0.5024162864611379
Southern Reef,Crab,77,Endemic,Aggressive,Reef Crest,Herbivore,23.138159186915942,0.6071695546044329
Northern Reef,Coral,20,Endemic,Solitary,Deep,Herbivore,26.526438709382212,0.1962389690608026
Western Reef,Jellyfish,49,Endemic,Solitary,Reef Crest,Herbivore,24.623368998538737,0.3436393182483749
Eastern Reef,Jellyfish,87,Endemic,Schooling,Deep,Carnivore,22.98027738378496,0.8055434831557119
Western Reef,Crab,3,Invasive,Solitary,Reef Crest,Omnivore,29.680574398726776,0.5977163530923645
Eastern Reef,Fish,29,Invasive,Solitary,Shallow,Carnivore,27.09422434958683,0.4536437967357704
Western Reef,Fish,62,Invasive,Solitary,Deep,Herbivore,22.091569586647992,0.8748702772489971
Northern Reef,Crab,78,Invasive,Solitary,Deep,Carnivore,26.187661575111225,0.37665265018375704
Northern Reef,Jellyfish,35,Endemic,Aggressive,Deep,Herbivore,25.676127445797245,0.19335594847068
Western Reef,Crab,63,Endemic,Aggressive,Shallow,Herbivore,21.378129558798836,0.4372900765457878
Northern Reef,Crab,60,Invasive,Schooling,Deep,Carnivore,27.128207917323213,0.39075133961278985
Eastern Reef,Fish,44,Invasive,Schooling,Reef Crest,Carnivore,24.60258281913748,0.8663444397291217
Eastern Reef,Coral,71,Endemic,Solitary,Reef Crest,Omnivore,26.69107111316841,0.31797158597870356
Eastern Reef,Crab,53,Invasive,Schooling,Shallow,Carnivore,28.916780071766247,0.5602801584033829
Southern Reef,Jellyfish,98,Invasive,Aggressive,Reef Crest,Herbivore,20.25995928458172,0.22881894477437648
Southern Reef,Crab,25,Invasive,Aggressive,Deep,Carnivore,26.5696113523135,0.39252999639811736
Eastern Reef,Coral,5,Invasive,Aggressive,Reef Crest,Omnivore,29.34508349783123,0.11832281809074018
Eastern Reef,Crab,13,Invasive,Schooling,Deep,Herbivore,23.490288537584643,0.5503459203109263
Southern Reef,Fish,26,Endemic,Aggressive,Shallow,Omnivore,26.717851070568514,0.6254927491566448
Northern Reef,Jellyfish,92,Invasive,Aggressive,Shallow,Omnivore,25.52888032703379,0.8478164724168114
Northern Reef,Fish,63,Invasive,Aggressive,Reef Crest,Carnivore,26.242921909042526,0.8989399889206543
Western Reef,Jellyfish,56,Invasive,Solitary,Shallow,Omnivore,22.223521944463048,0.23882666931319127
Southern Reef,Jellyfish,78,Invasive,Aggressive,Reef Crest,Herbivore,26.87906848547194,0.3204333062986253
Northern Reef,Fish,79,Endemic,Schooling,Deep,Carnivore,20.91857729239958,0.1352514303643032
Eastern Reef,Coral,72,Endemic,Aggressive,Shallow,Herbivore,29.966960080066066,0.3268129348882942
Northern Reef,Coral,12,Endemic,Aggressive,Shallow,Omnivore,29.11683111699105,0.6486641004108603
Northern Reef,Jellyfish,2,Endemic,Solitary,Shallow,Herbivore,21.476982569347243,0.4289853828794178
Western Reef,Fish,51,Invasive,Solitary,Reef Crest,Carnivore,29.412187690691447,0.2736577685523375
Southern Reef,Crab,95,Endemic,Solitary,Deep,Herbivore,28.735478353786547,0.1715554173526498
Southern Reef,Fish,81,Invasive,Schooling,Deep,Carnivore,24.397849212283013,0.27502925281629187
Southern Reef,Jellyfish,16,Endemic,Schooling,Shallow,Omnivore,25.98504744786799,0.21605749969603352
Northern Reef,Crab,85,Invasive,Aggressive,Reef Crest,Omnivore,24.248730967562935,0.13814998463768077
Eastern Reef,Coral,80,Endemic,Schooling,Deep,Herbivore,22.814149336664247,0.4685398007920186
Southern Reef,Fish,38,Endemic,Aggressive,Shallow,Omnivore,24.156688088361538,0.46943645776133913
Eastern Reef,Jellyfish,72,Endemic,Schooling,Deep,Carnivore,21.927720224052848,0.744888527628039
Western Reef,Jellyfish,14,Invasive,Aggressive,Deep,Carnivore,29.26559182504763,0.13353006637109424
Southern Reef,Coral,42,Endemic,Schooling,Shallow,Omnivore,22.294731959420808,0.3593218236047888
Western Reef,Crab,84,Endemic,Solitary,Reef Crest,Herbivore,23.238690390961047,0.5767425377614469
Northern Reef,Coral,99,Invasive,Schooling,Reef Crest,Omnivore,22.621940419354274,0.17954595608532423
Northern Reef,Jellyfish,60,Endemic,Schooling,Deep,Carnivore,29.88032242113519,0.6493649144292426
Eastern Reef,Crab,72,Endemic,Schooling,Deep,Carnivore,29.51820904977608,0.36515668500558396
Eastern Reef,Jellyfish,15,Invasive,Solitary,Shallow,Herbivore,26.05278025325874,0.40077694567868627
Eastern Reef,Fish,67,Endemic,Schooling,Reef Crest,Omnivore,26.476078861417033,0.4043229927198405
Western Reef,Jellyfish,74,Invasive,Solitary,Shallow,Herbivore,25.662185140438986,0.24109019965733225
Western Reef,Crab,71,Endemic,Solitary,Deep,Omnivore,27.277982371924878,0.2834945305238348
Eastern Reef,Coral,69,Endemic,Solitary,Shallow,Omnivore,20.905168340944726,0.7087601756795309
Northern Reef,Crab,75,Invasive,Solitary,Deep,Carnivore,23.941450478493504,0.7888530587608072
Western Reef,Jellyfish,52,Endemic,Solitary,Reef Crest,Carnivore,21.949060904682906,0.4309267618553926
Southern Reef,Crab,35,Invasive,Solitary,Shallow,Carnivore,28.996369549502266,0.7186730798137946
Southern Reef,Fish,41,Endemic,Solitary,Shallow,Carnivore,24.258994392867567,0.25391871668681143
Eastern Reef,Jellyfish,7,Endemic,Solitary,Deep,Omnivore,27.260419062681144,0.18216614387129662
Western Reef,Coral,82,Invasive,Schooling,Deep,Herbivore,25.271400757459794,0.7256544167094102
Southern Reef,Fish,98,Invasive,Solitary,Shallow,Omnivore,28.345690793046565,0.73028449182432
Eastern Reef,Coral,51,Invasive,Schooling,Shallow,Carnivore,21.868975905407005,0.28168590450280895
Eastern Reef,Coral,51,Endemic,Solitary,Reef Crest,Carnivore,24.66360812360447,0.8992351115120761
Southern Reef,Jellyfish,77,Endemic,Solitary,Reef Crest,Carnivore,23.364927904328862,0.16014441654191086
Western Reef,Fish,4,Invasive,Schooling,Reef Crest,Carnivore,20.296280845873124,0.22725535211968184
Southern Reef,Jellyfish,99,Endemic,Solitary,Shallow,Herbivore,21.240374286338348,0.560357402109018
Eastern Reef,Crab,48,Endemic,Schooling,Shallow,Herbivore,28.53927173430892,0.41621573019135505
Eastern Reef,Crab,72,Endemic,Solitary,Reef Crest,Carnivore,27.161449134833862,0.8112403655528607
Southern Reef,Crab,26,Invasive,Aggressive,Shallow,Carnivore,21.429990323700764,0.27506161317837186
Eastern Reef,Coral,89,Endemic,Aggressive,Reef Crest,Omnivore,23.642675020485125,0.3965135171364035
Southern Reef,Crab,25,Endemic,Solitary,Deep,Omnivore,22.712907470991368,0.35967454522444686
Western Reef,Jellyfish,95,Endemic,Solitary,Shallow,Herbivore,20.776832764620764,0.4540425498191396
Eastern Reef,Crab,43,Endemic,Aggressive,Shallow,Carnivore,24.378281159862027,0.46737475040760434
Western Reef,Crab,40,Endemic,Solitary,Reef Crest,Carnivore,20.442595507966498,0.677798554445924
Southern Reef,Coral,75,Endemic,Aggressive,Shallow,Omnivore,26.327048590810527,0.8144161140846654
Western Reef,Jellyfish,26,Endemic,Schooling,Deep,Omnivore,25.21236896047813,0.1955531992476666
Western Reef,Coral,16,Invasive,Aggressive,Deep,Omnivore,24.315914664919692,0.5418637106438976
