Region,Species,Population,Species Category,Behavior,Habitat Preference,Trophic Level,Water Temperature (Â°C),Nutrient Levels
Northern Reef,Fish,17,Invasive,Aggressive,Deep,Herbivore,29.541123132644792,0.3813211389127249
Western Reef,Coral,77,Invasive,Aggressive,Shallow,Omnivore,29.692418724877328,0.3657180449930525
Southern Reef,Fish,99,Invasive,Schooling,Reef Crest,Omnivore,22.425517335300647,0.7317597847694708
Northern Reef,Fish,98,Endemic,Solitary,Shallow,Herbivore,28.920941360237396,0.13440068078767464
Eastern Reef,Jellyfish,10,Invasive,Solitary,Deep,Herbivore,27.531833947667415,0.7915363277767552
Western Reef,Coral,57,Endemic,Solitary,Deep,Carnivore,25.236583504916815,0.7184541088163052
Western Reef,Coral,76,Invasive,Aggressive,Shallow,Carnivore,26.524930732811118,0.3346059466380143
Northern Reef,Crab,14,Invasive,Solitary,Deep,Carnivore,25.16139945259224,0.7145791859730454
Northern Reef,Fish,89,Invasive,Schooling,Reef Crest,Herbivore,22.86250922647905,0.4442433552030455
Southern Reef,Coral,54,Endemic,Solitary,Deep,Carnivore,24.776066738863292,0.5132005529494819
Southern Reef,Crab,20,Invasive,Schooling,Reef Crest,Herbivore,28.953974402667356,0.17324010556189098
Southern Reef,Jellyfish,64,Endemic,Aggressive,Shallow,Carnivore,28.777694280785532,0.2519319405478311
Eastern Reef,Fish,3,Endemic,Aggressive,Reef Crest,Herbivore,21.63920657373736,0.6871109723235599
Eastern Reef,Jellyfish,91,Endemic,Schooling,Deep,Carnivore,20.611556193624814,0.7143226822022906
Northern Reef,Coral,73,Invasive,Aggressive,Shallow,Herbivore,23.662820042750408,0.483439640541814
Western Reef,Coral,14,Invasive,Solitary,Deep,Omnivore,23.917476743227677,0.767361101831543
Northern Reef,Fish,3,Invasive,Solitary,Shallow,Omnivore,27.448956287058174,0.28176713962013933
Western Reef,Fish,82,Invasive,Aggressive,Shallow,Omnivore,29.274687475247603,0.4728883440662621
Eastern Reef,Coral,1,Invasive,Aggressive,Deep,Omnivore,24.01116841258588,0.18349057457914908
Southern Reef,Jellyfish,38,Endemic,Schooling,Shallow,Omnivore,26.78468650287379,0.19413706603061032
Western Reef,Fish,79,Endemic,Aggressive,Reef Crest,Carnivore,26.49312800938525,0.33510797053244534
Eastern Reef,Jellyfish,5,Endemic,Solitary,Reef Crest,Herbivore,20.772254220328385,0.7328603783486946
Southern Reef,Fish,63,Invasive,Solitary,Deep,Omnivore,28.548878907018967,0.5638659008659812
Southern Reef,Coral,53,Invasive,Solitary,Shallow,Herbivore,21.239195489051916,0.1860460838141961
Western Reef,Jellyfish,70,Invasive,Solitary,Shallow,Omnivore,22.421280343496598,0.6635814734208368
Southern Reef,Coral,16,Endemic,Schooling,Shallow,Carnivore,26.181992032371614,0.5124024673755085
Southern Reef,Jellyfish,75,Endemic,Aggressive,Reef Crest,Carnivore,24.712856536360313,0.2106450536556264
Western Reef,Coral,58,Endemic,Schooling,Shallow,Herbivore,22.319834775182116,0.2523260816970786
Southern Reef,Crab,43,Endemic,Aggressive,Shallow,Herbivore,26.711515347143386,0.21185728798066786
Northern Reef,Jellyfish,13,Endemic,Aggressive,Shallow,Herbivore,23.002452323825356,0.7215531173234792
Western Reef,Crab,15,Invasive,Solitary,Reef Crest,Omnivore,24.55031932624903,0.8859301131373705
Western Reef,Jellyfish,55,Endemic,Solitary,Reef Crest,Omnivore,23.1673916124174,0.3146450106750679
Eastern Reef,Jellyfish,41,Endemic,Solitary,Deep,Carnivore,24.977831423061353,0.349015602586633
Northern Reef,Crab,43,Endemic,Schooling,Reef Crest,Omnivore,25.480880295659,0.6268199195130431
Eastern Reef,Coral,66,Endemic,Aggressive,Shallow,Omnivore,29.603377697732373,0.7086403432762849
Western Reef,Coral,32,Invasive,Schooling,Shallow,Carnivore,28.47689523560753,0.6206842342162693
Northern Reef,Crab,17,Invasive,Aggressive,Deep,Carnivore,25.857675761460392,0.8815811129030059
Eastern Reef,Jellyfish,49,Invasive,Schooling,Shallow,Carnivore,23.807631224279405,0.7603048154421159
Northern Reef,Fish,41,Endemic,Aggressive,Shallow,Herbivore,21.107781994478273,0.22769486240194814
Southern Reef,Jellyfish,20,Invasive,Aggressive,Shallow,Omnivore,22.70522231984934,0.13584473969748725
Northern Reef,Fish,63,Invasive,Solitary,Shallow,Carnivore,26.78222278351207,0.24008094500681462
Western Reef,Crab,25,Invasive,Aggressive,Reef Crest,Carnivore,26.20184909357536,0.702837931656354
Eastern Reef,Crab,27,Endemic,Aggressive,Reef Crest,Carnivore,24.436965406977812,0.20656917266617178
Southern Reef,Jellyfish,96,Invasive,Solitary,Shallow,Carnivore,27.1379596496566,0.44662398903134537
Western Reef,Fish,53,Endemic,Aggressive,Shallow,Herbivore,23.242712781620043,0.8628241804451307
Western Reef,Crab,7,Endemic,Schooling,Deep,Omnivore,20.24151309781659,0.2780334761375468
Western Reef,Crab,76,Endemic,Solitary,Reef Crest,Carnivore,25.141606615397073,0.18148832231013623
Eastern Reef,Jellyfish,45,Invasive,Solitary,Shallow,Carnivore,26.424506923701493,0.202046384774466
Western Reef,Jellyfish,90,Endemic,Aggressive,Reef Crest,Carnivore,22.32516082767937,0.8117864313379077
Western Reef,Crab,34,Invasive,Schooling,Shallow,Herbivore,22.33461955822558,0.6091316450010261
Southern Reef,Coral,54,Invasive,Aggressive,Deep,Carnivore,22.577085953676303,0.21153529352938627
Northern Reef,Jellyfish,1,Invasive,Solitary,Reef Crest,Herbivore,23.45690870939919,0.5454501687736384
Southern Reef,Fish,88,Invasive,Aggressive,Deep,Herbivore,20.052525750357187,0.606562416256368
Southern Reef,Crab,69,Endemic,Aggressive,Deep,Omnivore,23.624416757084692,0.8991097325620946
Western Reef,Fish,98,Endemic,Schooling,Shallow,Herbivore,26.112574617161535,0.4340287144970755
Western Reef,Coral,15,Invasive,Solitary,Shallow,Carnivore,27.39625946313288,0.15484890550145425
Northern Reef,Jellyfish,37,Invasive,Solitary,Deep,Omnivore,26.858006739976993,0.27670670727628244
Southern Reef,Fish,69,Invasive,Schooling,Deep,Omnivore,29.328867038896387,0.19902367050826816
Northern Reef,Fish,83,Invasive,Schooling,Reef Crest,Carnivore,28.629107876580456,0.16299796581992787
Western Reef,Jellyfish,74,Invasive,Solitary,Reef Crest,Herbivore,25.236343168717738,0.21905865481380493
Western Reef,Coral,35,Endemic,Aggressive,Shallow,Omnivore,22.017181583792095,0.19188928087078586
Western Reef,Fish,26,Endemic,Schooling,Deep,Carnivore,21.63290690336928,0.25980777666592514
Eastern Reef,Fish,20,Endemic,Aggressive,Reef Crest,Omnivore,29.036973179396018,0.8097008051843866
Eastern Reef,Jellyfish,65,Endemic,Schooling,Reef Crest,Herbivore,23.445853487055132,0.5194791212597714
Northern Reef,Crab,79,Invasive,Aggressive,Deep,Carnivore,26.551666814478736,0.7653533245973941
Southern Reef,Fish,69,Invasive,Schooling,Deep,Carnivore,26.561263196868268,0.6912804388377297
Southern Reef,Coral,43,Endemic,Aggressive,Shallow,Carnivore,20.700266768651318,0.38254111176390093
Northern Reef,Coral,14,Invasive,Aggressive,Reef Crest,Omnivore,22.395449169138605,0.8388805694652146
Western Reef,Jellyfish,53,Invasive,Solitary,Reef Crest,Omnivore,28.85119490061932,0.875931798142198
Northern Reef,Fish,31,Endemic,Schooling,Reef Crest,Omnivore,21.156830957365226,0.4497677110561856
Eastern Reef,Jellyfish,13,Endemic,Aggressive,Reef Crest,Carnivore,27.683660821081144,0.3759920173413417
Southern Reef,Coral,15,Endemic,Aggressive,Shallow,Carnivore,22.610105427567824,0.2644075791189776
Eastern Reef,Crab,97,Invasive,Aggressive,Shallow,Herbivore,29.118359437750044,0.6545164687598666
Southern Reef,Jellyfish,7,Invasive,Aggressive,Deep,Carnivore,21.980088172008685,0.6232572473358343
Northern Reef,Crab,66,Invasive,Solitary,Deep,Herbivore,28.634832217942932,0.4313203895348273
Southern Reef,Crab,1,Invasive,Aggressive,Deep,Carnivore,26.17717916130303,0.5915103961585668
Western Reef,Crab,81,Invasive,Solitary,Deep,Omnivore,20.833614218564634,0.8541055352035984
Western Reef,Fish,99,Invasive,Solitary,Reef Crest,Carnivore,23.864828041379653,0.5204228994564476
Northern Reef,Fish,61,Endemic,Solitary,Shallow,Herbivore,21.977737074165525,0.7193275221676749
Southern Reef,Fish,2,Endemic,Aggressive,Reef Crest,Carnivore,26.916736654275155,0.5668968286213899
Southern Reef,Coral,88,Invasive,Schooling,Shallow,Herbivore,29.917778322378815,0.5818857043830866
Western Reef,Jellyfish,28,Endemic,Schooling,Deep,Carnivore,29.66718815814678,0.5219576992351795
Eastern Reef,Coral,90,Endemic,Schooling,Shallow,Carnivore,29.93195194213051,0.6273580923263359
Southern Reef,Fish,54,Invasive,Schooling,Shallow,Omnivore,25.74336386091786,0.28066721266993133
Western Reef,Crab,34,Invasive,Schooling,Deep,Herbivore,22.51906043071607,0.8062370476714449
Southern Reef,Coral,55,Endemic,Schooling,Reef Crest,Herbivore,25.269714454507707,0.4335297456206384
Eastern Reef,Coral,68,Endemic,Aggressive,Shallow,Herbivore,29.9831632303775,0.13175084853813557
Eastern Reef,Coral,39,Invasive,Aggressive,Shallow,Omnivore,27.56394521348306,0.6358040941019306
Southern Reef,Jellyfish,71,Invasive,Solitary,Reef Crest,Carnivore,21.531332476100836,0.18085815946132364
Southern Reef,Coral,48,Invasive,Aggressive,Reef Crest,Omnivore,21.265929857373518,0.30648201637156036
Eastern Reef,Crab,82,Endemic,Aggressive,Deep,Carnivore,22.086232622877972,0.7603971348565478
Western Reef,Crab,51,Invasive,Aggressive,Shallow,Herbivore,24.625940152891715,0.7692588625069394
Southern Reef,Crab,64,Invasive,Aggressive,Shallow,Omnivore,25.302776323521048,0.38279457991744825
Eastern Reef,Crab,83,Invasive,Schooling,Shallow,Omnivore,21.19848736338418,0.5943826394898549
Southern Reef,Coral,30,Invasive,Aggressive,Reef Crest,Herbivore,29.715433125132876,0.3453276826168553
Southern Reef,Jellyfish,96,Endemic,Aggressive,Reef Crest,Herbivore,28.288010217171987,0.6145743733460436
Eastern Reef,Fish,26,Endemic,Schooling,Reef Crest,Carnivore,24.510683371231544,0.655102896952372
Northern Reef,Fish,31,Endemic,Aggressive,Shallow,Omnivore,29.62757819132983,0.4920286789874645
Northern Reef,Fish,63,Invasive,Aggressive,Reef Crest,Carnivore,24.186095195085812,0.13065676982578608
Northern Reef,Jellyfish,77,Invasive,Solitary,Reef Crest,Herbivore,24.441534107958955,0.27207044141465586
Eastern Reef,Coral,42,Invasive,Schooling,Reef Crest,Omnivore,25.193637169529595,0.7814391072954282
Southern Reef,Fish,79,Invasive,Aggressive,Shallow,Herbivore,28.502397116297217,0.8753982125375238
Southern Reef,Coral,82,Invasive,Aggressive,Shallow,Omnivore,29.377424524727054,0.15293411974996235
Southern Reef,Crab,81,Endemic,Solitary,Shallow,Carnivore,23.754575004181376,0.7908539165598795
Western Reef,Crab,94,Endemic,Aggressive,Reef Crest,Carnivore,26.88965340704773,0.5884530988229598
Northern Reef,Coral,27,Invasive,Aggressive,Shallow,Carnivore,21.05007337685238,0.37723618112592205
Southern Reef,Crab,31,Invasive,Schooling,Reef Crest,Herbivore,22.139572673570115,0.1183987003791268
Western Reef,Jellyfish,75,Invasive,Aggressive,Shallow,Carnivore,21.497407795476846,0.40201459443800003
Northern Reef,Jellyfish,72,Endemic,Solitary,Reef Crest,Herbivore,21.637489351068318,0.31686231104549756
Eastern Reef,Jellyfish,52,Endemic,Aggressive,Deep,Carnivore,22.31971760644209,0.10117138271123852
Northern Reef,Crab,71,Endemic,Solitary,Reef Crest,Herbivore,20.486890973825417,0.4571702321246618
Northern Reef,Coral,29,Invasive,Schooling,Shallow,Carnivore,20.110047247727245,0.8428914440026208
Southern Reef,Coral,98,Invasive,Aggressive,Shallow,Carnivore,22.674459150639063,0.5648702241555548
Western Reef,Jellyfish,34,Endemic,Schooling,Reef Crest,Herbivore,22.637067863196872,0.8508164367152057
Northern Reef,Jellyfish,16,Invasive,Aggressive,Deep,Carnivore,28.357400675262298,0.2197745095347343
Eastern Reef,Fish,29,Endemic,Solitary,Deep,Herbivore,24.783770998311834,0.5784327976805378
Northern Reef,Jellyfish,82,Endemic,Solitary,Reef Crest,Herbivore,23.61885021099617,0.395207041335338
Eastern Reef,Fish,84,Endemic,Aggressive,Reef Crest,Omnivore,26.84214864194751,0.8052849585822823
Northern Reef,Crab,90,Invasive,Aggressive,Deep,Carnivore,21.83490948962054,0.7882102608442538
Southern Reef,Fish,35,Invasive,Aggressive,Shallow,Herbivore,25.071132051570153,0.14117742364931374
Western Reef,Coral,27,Endemic,Schooling,Deep,Herbivore,20.327195351102215,0.1686543429192966
Southern Reef,Jellyfish,23,Invasive,Aggressive,Reef Crest,Omnivore,25.02303513573061,0.8681988881900167
Northern Reef,Coral,30,Endemic,Aggressive,Deep,Carnivore,23.41091972315132,0.7246110408475984
Southern Reef,Jellyfish,10,Invasive,Schooling,Shallow,Omnivore,27.69645254491207,0.37007711136387234
Southern Reef,Jellyfish,11,Endemic,Schooling,Deep,Herbivore,28.9704119240288,0.38951802365956334
Northern Reef,Coral,46,Invasive,Solitary,Shallow,Omnivore,26.645852761736045,0.4894548456305782
Eastern Reef,Jellyfish,84,Invasive,Solitary,Reef Crest,Omnivore,22.135824788149556,0.5682146710086478
Eastern Reef,Fish,37,Invasive,Aggressive,Shallow,Omnivore,23.886972126865288,0.7793523834350301
Southern Reef,Crab,86,Endemic,Aggressive,Reef Crest,Herbivore,22.087104394974336,0.24561030932480696
Northern Reef,Coral,46,Endemic,Aggressive,Shallow,Carnivore,24.480609442733446,0.16618716709934594
Western Reef,Coral,38,Invasive,Schooling,Shallow,Herbivore,22.41581486778271,0.7464001494935107
Western Reef,Jellyfish,30,Endemic,Aggressive,Reef Crest,Omnivore,27.52423431491779,0.4160735061497526
Northern Reef,Fish,91,Invasive,Aggressive,Reef Crest,Carnivore,24.282691464690117,0.7458617539167096
Western Reef,Fish,10,Endemic,Schooling,Deep,Herbivore,21.30452332020247,0.8878074422455374
Northern Reef,Jellyfish,52,Invasive,Solitary,Shallow,Carnivore,25.68406734518344,0.8634998919780184
Eastern Reef,Crab,47,Endemic,Aggressive,Deep,Carnivore,29.937249552538393,0.28690731434632444
Western Reef,Jellyfish,54,Invasive,Aggressive,Reef Crest,Carnivore,21.547766369123654,0.47416839975046476
Southern Reef,Coral,83,Endemic,Schooling,Shallow,Omnivore,23.78453442450299,0.30183580518449626
Southern Reef,Coral,42,Endemic,Schooling,Reef Crest,Herbivore,29.494096353965404,0.5619059413321974
Southern Reef,Fish,69,Endemic,Schooling,Shallow,Omnivore,24.939709795248096,0.4505028259817746
Southern Reef,Fish,90,Endemic,Aggressive,Deep,Omnivore,27.50896096693542,0.30024314117540674
Western Reef,Jellyfish,72,Invasive,Aggressive,Shallow,Carnivore,21.01306360123569,0.27369907184943576
Southern Reef,Coral,10,Invasive,Solitary,Reef Crest,Omnivore,23.089765725632784,0.7331833943842965
Western Reef,Coral,72,Endemic,Schooling,Shallow,Omnivore,22.57204627701513,0.7573491178928213
Eastern Reef,Coral,93,Invasive,Solitary,Reef Crest,Herbivore,22.573196009439954,0.33919057960236
Western Reef,Crab,39,Invasive,Schooling,Deep,Herbivore,25.433858556385008,0.47255292546197436
Northern Reef,Fish,45,Endemic,Aggressive,Shallow,Carnivore,22.36446093217854,0.610203800936968
Western Reef,Crab,79,Invasive,Schooling,Deep,Omnivore,27.86924286523179,0.7631823712325815
Eastern Reef,Crab,94,Endemic,Schooling,Shallow,Carnivore,20.276749440075857,0.39045020554962795
Southern Reef,Jellyfish,98,Endemic,Schooling,Shallow,Omnivore,25.752280360139757,0.10817406907846278
Northern Reef,Coral,58,Invasive,Solitary,Shallow,Omnivore,20.752631143563285,0.31000152786218516
Northern Reef,Fish,91,Endemic,Solitary,Shallow,Omnivore,23.58603273392362,0.5682811986552726
Southern Reef,Coral,28,Endemic,Solitary,Shallow,Omnivore,28.93201833350259,0.443608194487606
Western Reef,Jellyfish,24,Invasive,Schooling,Shallow,Omnivore,24.91780576094883,0.7517898605496519
Southern Reef,Jellyfish,64,Endemic,Schooling,Reef Crest,Herbivore,22.19959579023154,0.2583380829583597
Southern Reef,Crab,25,Endemic,Solitary,Shallow,Carnivore,25.47272062901317,0.8683686546120919
Northern Reef,Fish,88,Invasive,Solitary,Deep,Omnivore,25.489701077749572,0.8160690035423869
Northern Reef,Jellyfish,62,Endemic,Solitary,Deep,Herbivore,20.824383470764488,0.8926600466393074
Southern Reef,Jellyfish,55,Endemic,Solitary,Deep,Omnivore,22.371035633710157,0.47561161279182085
Eastern Reef,Coral,96,Endemic,Schooling,Shallow,Carnivore,23.106094353369162,0.1296835357493775
Northern Reef,Coral,27,Endemic,Aggressive,Shallow,Omnivore,28.913724910160855,0.8165276567826586
Western Reef,Jellyfish,56,Invasive,Solitary,Shallow,Omnivore,24.824594884578964,0.738322190516076
Northern Reef,Fish,54,Invasive,Aggressive,Reef Crest,Carnivore,24.265558411810858,0.46499835974029735
Northern Reef,Coral,46,Endemic,Schooling,Reef Crest,Carnivore,23.145525506473234,0.8081374074071036
Northern Reef,Coral,12,Endemic,Aggressive,Reef Crest,Herbivore,24.531627600428227,0.27917427647422405
Southern Reef,Coral,96,Endemic,Schooling,Shallow,Herbivore,22.663909091805536,0.5662650365867004
Northern Reef,Fish,29,Endemic,Schooling,Reef Crest,Omnivore,24.149374659630666,0.14901868210370894
Western Reef,Coral,45,Invasive,Schooling,Reef Crest,Omnivore,25.673315355137454,0.6425227156582045
Northern Reef,Crab,94,Invasive,Solitary,Reef Crest,Carnivore,22.809775437372686,0.4381930826172029
Eastern Reef,Crab,52,Endemic,Solitary,Shallow,Herbivore,21.60981557647753,0.3948299354734447
Western Reef,Coral,36,Endemic,Schooling,Reef Crest,Herbivore,25.29390239406787,0.2099934266832576
Northern Reef,Coral,66,Endemic,Schooling,Shallow,Omnivore,26.271286388312998,0.6388200761274013
Southern Reef,Fish,56,Endemic,Schooling,Shallow,Herbivore,21.454416896509,0.5297433063732376
Northern Reef,Fish,13,Endemic,Aggressive,Reef Crest,Omnivore,20.51042389984331,0.8172582405234444
Northern Reef,Fish,59,Endemic,Schooling,Deep,Carnivore,29.14599220433469,0.5688159421526312
Eastern Reef,Fish,41,Endemic,Schooling,Shallow,Carnivore,22.360767080910218,0.7062843567986311
Eastern Reef,Crab,21,Invasive,Solitary,Shallow,Herbivore,28.49610251429153,0.5114194015300282
Northern Reef,Crab,25,Invasive,Aggressive,Reef Crest,Carnivore,29.701265031125672,0.1256054584373356
Northern Reef,Jellyfish,14,Invasive,Schooling,Shallow,Carnivore,28.041090197439367,0.7003058589417539
Eastern Reef,Coral,96,Invasive,Aggressive,Reef Crest,Omnivore,24.305241522460097,0.14189803839475862
Western Reef,Fish,68,Invasive,Aggressive,Reef Crest,Carnivore,25.454614659546074,0.8225617233202204
Northern Reef,Coral,64,Endemic,Aggressive,Deep,Carnivore,24.53730668850634,0.4172650486587073
Northern Reef,Coral,32,Endemic,Solitary,Shallow,Carnivore,26.929436772766312,0.5926167162978482
Western Reef,Fish,93,Invasive,Solitary,Reef Crest,Carnivore,20.575290260776402,0.6572684875926329
Eastern Reef,Coral,58,Endemic,Solitary,Deep,Herbivore,28.341990705844896,0.5612723897292992
Eastern Reef,Crab,6,Endemic,Schooling,Reef Crest,Carnivore,25.178159417222847,0.6178798437016456
Western Reef,Coral,39,Endemic,Schooling,Shallow,Carnivore,27.85367292664161,0.5493330564313007
Northern Reef,Jellyfish,17,Endemic,Solitary,Deep,Carnivore,22.08829894866608,0.8887594065282318
Western Reef,Fish,76,Endemic,Solitary,Shallow,Carnivore,21.33970921934539,0.5621301919196908
Northern Reef,Crab,23,Endemic,Solitary,Deep,Carnivore,29.018105463817164,0.7016061020592249
Southern Reef,Jellyfish,85,Invasive,Solitary,Shallow,Carnivore,20.807103312927353,0.2965557003419906
Southern Reef,Fish,28,Endemic,Solitary,Shallow,Herbivore,24.696145206949822,0.7259899367223591
Northern Reef,Jellyfish,31,Endemic,Aggressive,Reef Crest,Omnivore,20.73106272280965,0.5479709743403484
Southern Reef,Jellyfish,23,Endemic,Schooling,Deep,Herbivore,21.098255148888107,0.26443398825706166
Northern Reef,Jellyfish,30,Endemic,Schooling,Reef Crest,Carnivore,25.50776610026211,0.2470459054223868
Eastern Reef,Coral,40,Invasive,Aggressive,Deep,Omnivore,20.35779988281989,0.13845418315829294
Eastern Reef,Crab,67,Invasive,Solitary,Deep,Omnivore,23.420578519490874,0.7519158341016788
Northern Reef,Fish,69,Endemic,Solitary,Reef Crest,Carnivore,23.56068259613531,0.2656778039983306
Northern Reef,Jellyfish,94,Invasive,Schooling,Deep,Omnivore,28.98647834681762,0.19619833272963627
Southern Reef,Fish,3,Invasive,Solitary,Deep,Carnivore,21.47984574140202,0.5785804912484974
Northern Reef,Coral,71,Endemic,Schooling,Reef Crest,Omnivore,26.3357790097172,0.6634750669960636
Western Reef,Jellyfish,27,Endemic,Schooling,Shallow,Omnivore,24.62086134134235,0.6507187032208324
Western Reef,Jellyfish,41,Endemic,Solitary,Shallow,Omnivore,29.211428707341977,0.1759444767448101
Northern Reef,Fish,10,Invasive,Solitary,Deep,Carnivore,28.155773323815943,0.5068525802455814
Northern Reef,Coral,83,Endemic,Schooling,Deep,Herbivore,22.097701881518336,0.3785076286370631
Western Reef,Fish,11,Endemic,Schooling,Reef Crest,Carnivore,21.715742452857917,0.6346458984500021
Eastern Reef,Coral,17,Endemic,Aggressive,Deep,Omnivore,29.886255846635663,0.31651368919696443
Eastern Reef,Crab,73,Invasive,Solitary,Deep,Carnivore,25.402100323931275,0.7840888866010411
Eastern Reef,Jellyfish,24,Endemic,Schooling,Deep,Carnivore,25.043397195462646,0.29501737316877275
Southern Reef,Fish,29,Endemic,Solitary,Shallow,Carnivore,27.482665438301236,0.7841761523276072
Northern Reef,Crab,97,Endemic,Aggressive,Reef Crest,Carnivore,24.648143429925337,0.8426715397419938
Northern Reef,Jellyfish,46,Invasive,Aggressive,Reef Crest,Carnivore,27.95105852324918,0.3545104948423198
Southern Reef,Fish,19,Invasive,Aggressive,Shallow,Carnivore,23.095994970711455,0.5589728292252519
Northern Reef,Jellyfish,15,Endemic,Solitary,Shallow,Omnivore,23.624180579042925,0.48439171755377053
Southern Reef,Jellyfish,32,Invasive,Schooling,Shallow,Omnivore,25.702206040266333,0.2641307437691676
Eastern Reef,Crab,96,Endemic,Aggressive,Shallow,Carnivore,23.00422056949763,0.8278072507728845
Northern Reef,Fish,53,Invasive,Aggressive,Deep,Carnivore,27.769346957549494,0.6303464618783532
Northern Reef,Jellyfish,82,Invasive,Schooling,Deep,Herbivore,29.98479105681657,0.7436251079449073
Southern Reef,Crab,35,Endemic,Solitary,Deep,Omnivore,21.516813235991478,0.32522190324316014
Northern Reef,Fish,84,Endemic,Solitary,Shallow,Herbivore,28.83422600978134,0.6803828819630027
Western Reef,Jellyfish,21,Endemic,Aggressive,Deep,Carnivore,29.54145521435241,0.533655749586952
Southern Reef,Jellyfish,21,Endemic,Schooling,Shallow,Carnivore,23.425625876934152,0.4824439890007792
Western Reef,Jellyfish,81,Endemic,Aggressive,Reef Crest,Omnivore,20.869590839777075,0.1427651016742246
Eastern Reef,Jellyfish,93,Invasive,Schooling,Reef Crest,Herbivore,20.066971409298095,0.13220259522276231
Eastern Reef,Jellyfish,93,Endemic,Aggressive,Reef Crest,Omnivore,28.19617077578264,0.8452103080306238
Southern Reef,Coral,36,Endemic,Aggressive,Deep,Herbivore,22.5987485521336,0.5646677667788201
Northern Reef,Fish,21,Invasive,Aggressive,Shallow,Omnivore,25.45168301279506,0.43090397100175926
Northern Reef,Fish,91,Endemic,Aggressive,Reef Crest,Herbivore,21.044575328808058,0.34985466255288544
Southern Reef,Coral,34,Invasive,Aggressive,Deep,Carnivore,27.85921211777211,0.5656454429486886
Northern Reef,Jellyfish,10,Endemic,Solitary,Shallow,Herbivore,21.297927127219904,0.6122134854274074
Eastern Reef,Coral,51,Invasive,Schooling,Shallow,Herbivore,24.965265971495416,0.7271548383059966
Southern Reef,Jellyfish,10,Endemic,Schooling,Reef Crest,Herbivore,21.211084483911012,0.2308549135437061
Northern Reef,Fish,70,Endemic,Aggressive,Reef Crest,Herbivore,26.813412177314646,0.722234332049079
Northern Reef,Coral,28,Invasive,Schooling,Reef Crest,Omnivore,28.848161304377328,0.8353151490758249
Eastern Reef,Coral,13,Endemic,Solitary,Deep,Carnivore,21.161815695705368,0.3457461578122956
Northern Reef,Jellyfish,56,Endemic,Aggressive,Shallow,Carnivore,22.73885991892621,0.615948198655685
Western Reef,Jellyfish,58,Endemic,Schooling,Reef Crest,Carnivore,28.246317505719922,0.7294515917941792
Northern Reef,Jellyfish,26,Invasive,Schooling,Deep,Omnivore,24.99014172804725,0.5855389460853798
Eastern Reef,Fish,42,Endemic,Solitary,Deep,Herbivore,28.7759140033029,0.6836625682123845
Southern Reef,Coral,85,Invasive,Solitary,Deep,Omnivore,29.689146862414255,0.2179574656189269
Northern Reef,Coral,50,Endemic,Solitary,Reef Crest,Carnivore,23.68402492855124,0.7456568668464514
Western Reef,Crab,6,Invasive,Solitary,Shallow,Omnivore,21.626619370226816,0.17756185120951554
Northern Reef,Jellyfish,4,Invasive,Aggressive,Reef Crest,Carnivore,26.97442971806451,0.8285333056920291
Northern Reef,Jellyfish,52,Endemic,Aggressive,Deep,Omnivore,22.66250892050078,0.8180396322264566
Western Reef,Coral,7,Invasive,Solitary,Shallow,Carnivore,22.013680623928483,0.5229508652189554
Northern Reef,Crab,11,Invasive,Aggressive,Deep,Herbivore,22.0312019847972,0.6279436781609818
Western Reef,Crab,14,Endemic,Solitary,Deep,Herbivore,29.62163758651662,0.5130415589523268
Eastern Reef,Jellyfish,33,Endemic,Solitary,Shallow,Omnivore,29.75612053268001,0.31533862270293134
Northern Reef,Jellyfish,66,Endemic,Aggressive,Reef Crest,Herbivore,23.819108274686364,0.20408290012230712
