Region,Species,Population,Species Category,Behavior,Habitat Preference,Trophic Level,Water Temperature (Â°C),Nutrient Levels
Western Reef,Crab,13,Endemic,Solitary,Deep,Carnivore,28.599313966635762,0.4278952036527168
Northern Reef,Coral,21,Endemic,Schooling,Reef Crest,Omnivore,21.21435058861888,0.4313324360322349
Eastern Reef,Fish,38,Invasive,Aggressive,Reef Crest,Carnivore,22.700807364026375,0.4287628201620961
Western Reef,Crab,16,Endemic,Schooling,Deep,Omnivore,21.27587887587175,0.7077117044542486
Eastern Reef,Fish,22,Invasive,Schooling,Deep,Omnivore,27.144626586362442,0.6266334416779024
Western Reef,Coral,3,Endemic,Aggressive,Deep,Herbivore,24.834684886148317,0.2994441060336259
Eastern Reef,Crab,72,Invasive,Solitary,Shallow,Omnivore,22.321495921456645,0.7332569800637913
Northern Reef,Coral,43,Invasive,Solitary,Deep,Omnivore,20.20169064878452,0.10969849543733626
Southern Reef,Fish,29,Endemic,Schooling,Reef Crest,Herbivore,24.662034400695127,0.23670647796698863
Northern Reef,Fish,74,Endemic,Schooling,Reef Crest,Carnivore,27.672496839885607,0.21663942720043253
Western Reef,Fish,42,Endemic,Aggressive,Shallow,Carnivore,24.266330535030626,0.13502921003609158
Western Reef,Jellyfish,17,Invasive,Aggressive,Deep,Omnivore,20.627634532749465,0.4989781041132346
Northern Reef,Jellyfish,17,Endemic,Schooling,Shallow,Herbivore,24.2114522759909,0.18776254641704027
Southern Reef,Fish,73,Endemic,Aggressive,Reef Crest,Omnivore,23.269617513215643,0.8130736082396703
Western Reef,Crab,69,Endemic,Schooling,Reef Crest,Herbivore,21.61477934607349,0.3331020585028138
Northern Reef,Fish,8,Invasive,Solitary,Reef Crest,Herbivore,20.020757114624022,0.13778992858219077
Northern Reef,Coral,33,Invasive,Schooling,Deep,Herbivore,25.61939516337673,0.4189565491990389
Southern Reef,Fish,50,Endemic,Schooling,Deep,Omnivore,23.723126580086124,0.33937924780664663
Southern Reef,Coral,18,Invasive,Schooling,Shallow,Carnivore,27.58845577538895,0.6062677493254438
Eastern Reef,Coral,62,Invasive,Schooling,Shallow,Herbivore,20.63406098166321,0.7284665015041936
Northern Reef,Fish,83,Endemic,Solitary,Shallow,Omnivore,27.365817673840272,0.3472288157384762
Western Reef,Crab,87,Endemic,Solitary,Deep,Omnivore,23.79446797326586,0.4994323982789255
Southern Reef,Fish,51,Invasive,Schooling,Reef Crest,Herbivore,22.941310396490493,0.442531572672076
Northern Reef,Crab,47,Invasive,Aggressive,Deep,Herbivore,23.889104525200498,0.4614609385890044
Western Reef,Coral,88,Endemic,Solitary,Shallow,Carnivore,28.412205350750916,0.1630078782912026
Northern Reef,Coral,10,Endemic,Solitary,Deep,Carnivore,26.826684442547418,0.6907701754053127
Northern Reef,Jellyfish,83,Endemic,Schooling,Shallow,Herbivore,28.50316437797437,0.47218881271501967
Northern Reef,Crab,95,Endemic,Schooling,Shallow,Omnivore,29.592114662055153,0.2070127453412555
Western Reef,Crab,45,Invasive,Schooling,Deep,Omnivore,28.510923147845407,0.7693447527664458
Southern Reef,Crab,4,Invasive,Schooling,Reef Crest,Carnivore,29.520621787930764,0.6814769735373768
Southern Reef,Crab,90,Endemic,Solitary,Reef Crest,Omnivore,22.55413004112707,0.3573511879948099
Northern Reef,Crab,60,Invasive,Solitary,Reef Crest,Omnivore,26.717350620766403,0.504747955903546
Southern Reef,Crab,90,Invasive,Schooling,Shallow,Omnivore,24.44290026809462,0.4364476721290155
Eastern Reef,Crab,1,Invasive,Schooling,Reef Crest,Herbivore,20.439851943828504,0.7713156961584184
Southern Reef,Crab,65,Invasive,Schooling,Reef Crest,Herbivore,28.544795067332174,0.30005709433979444
Northern Reef,Crab,7,Invasive,Schooling,Deep,Carnivore,24.15673921846571,0.4977393357424563
Eastern Reef,Coral,4,Invasive,Schooling,Shallow,Omnivore,20.81963818882458,0.44845266676844164
Eastern Reef,Jellyfish,77,Endemic,Aggressive,Deep,Herbivore,24.786916932497096,0.6394034155591397
Western Reef,Coral,45,Invasive,Schooling,Deep,Herbivore,27.248348636656306,0.17990861713745315
Southern Reef,Fish,45,Invasive,Solitary,Reef Crest,Carnivore,21.922014867036882,0.7108013194746098
Western Reef,Fish,63,Invasive,Schooling,Shallow,Carnivore,24.291596787112564,0.12993243372654978
Southern Reef,Crab,92,Invasive,Aggressive,Reef Crest,Carnivore,25.5534985541559,0.5028643104913556
Western Reef,Coral,59,Invasive,Solitary,Reef Crest,Omnivore,24.76991645819846,0.6960831443953672
Western Reef,Jellyfish,5,Endemic,Aggressive,Reef Crest,Carnivore,26.516641436253806,0.47586370495301356
Northern Reef,Jellyfish,7,Invasive,Aggressive,Deep,Carnivore,24.309959221698513,0.3862056549834302
Eastern Reef,Jellyfish,30,Invasive,Solitary,Shallow,Omnivore,21.382671510307002,0.4355621732193605
Northern Reef,Jellyfish,46,Invasive,Schooling,Deep,Herbivore,21.850328049566297,0.39281720408529985
Western Reef,Jellyfish,26,Endemic,Aggressive,Deep,Omnivore,25.970117264058487,0.46564682647120526
Western Reef,Jellyfish,9,Invasive,Schooling,Deep,Omnivore,20.853261861390568,0.6816255749268275
Northern Reef,Crab,65,Invasive,Solitary,Reef Crest,Omnivore,28.89121708842258,0.6125461137911803
Southern Reef,Jellyfish,94,Endemic,Solitary,Deep,Omnivore,21.620027637650292,0.5974226812797053
Southern Reef,Crab,34,Endemic,Aggressive,Deep,Carnivore,27.91165720244551,0.6896465739085882
Western Reef,Crab,10,Endemic,Solitary,Shallow,Omnivore,24.75508408918442,0.3726502265226691
Northern Reef,Crab,75,Invasive,Solitary,Reef Crest,Carnivore,23.837981104229303,0.2813594616193785
Northern Reef,Crab,91,Endemic,Schooling,Shallow,Carnivore,21.44918615882071,0.18107973005855174
Southern Reef,Crab,85,Endemic,Schooling,Deep,Herbivore,21.234833682417417,0.17933301328209952
Eastern Reef,Jellyfish,38,Endemic,Schooling,Deep,Omnivore,22.49610258590455,0.4294304361249124
Southern Reef,Crab,53,Invasive,Schooling,Shallow,Herbivore,27.125890163528915,0.3641490066819406
Southern Reef,Crab,89,Invasive,Schooling,Deep,Herbivore,21.533586698880317,0.6490751876216634
Northern Reef,Coral,1,Invasive,Schooling,Reef Crest,Herbivore,26.19788690053116,0.40953288344348227
Northern Reef,Fish,49,Endemic,Aggressive,Shallow,Carnivore,24.4068936470089,0.7758673453702546
Eastern Reef,Coral,14,Invasive,Schooling,Deep,Herbivore,26.553084388875607,0.24579931690878418
Southern Reef,Coral,80,Endemic,Schooling,Deep,Herbivore,22.32328162484929,0.1473891016206726
Northern Reef,Fish,95,Invasive,Solitary,Reef Crest,Omnivore,23.02683311252434,0.5273121160300199
Western Reef,Fish,59,Endemic,Solitary,Reef Crest,Herbivore,29.99242715727715,0.6240596502060509
Southern Reef,Jellyfish,56,Invasive,Schooling,Reef Crest,Herbivore,25.547026798739257,0.6458222716618304
Eastern Reef,Coral,67,Endemic,Schooling,Deep,Herbivore,28.192762858578277,0.5938020853199424
Western Reef,Crab,10,Endemic,Aggressive,Shallow,Carnivore,25.566329182293714,0.21087986864867656
Southern Reef,Crab,45,Endemic,Aggressive,Deep,Herbivore,24.245680581119117,0.779746185623061
Western Reef,Crab,51,Endemic,Schooling,Shallow,Herbivore,23.228804349145832,0.12621797168366716
Northern Reef,Jellyfish,64,Endemic,Solitary,Deep,Omnivore,20.808453986895767,0.7063736702936988
Northern Reef,Jellyfish,98,Invasive,Aggressive,Deep,Carnivore,29.586465812903846,0.7785186953849837
Northern Reef,Jellyfish,84,Endemic,Schooling,Reef Crest,Omnivore,23.021236121398257,0.8425975130188267
Northern Reef,Jellyfish,34,Invasive,Schooling,Shallow,Carnivore,27.37248807731424,0.25956295646028715
Southern Reef,Crab,61,Invasive,Solitary,Deep,Herbivore,28.634485080454397,0.6105865214763965
Northern Reef,Coral,32,Invasive,Solitary,Reef Crest,Herbivore,22.71242477335344,0.23147113756097637
Northern Reef,Jellyfish,17,Endemic,Solitary,Deep,Carnivore,28.587052795413918,0.3132547326714028
Western Reef,Jellyfish,90,Invasive,Schooling,Deep,Omnivore,21.031846773258355,0.40929986779092686
Northern Reef,Jellyfish,9,Invasive,Solitary,Shallow,Carnivore,26.29431046995122,0.5217718345734422
Northern Reef,Jellyfish,61,Invasive,Solitary,Reef Crest,Carnivore,20.597607214908486,0.2967864548703279
Western Reef,Crab,64,Endemic,Solitary,Shallow,Herbivore,29.178841580726488,0.4951760425568089
Northern Reef,Fish,60,Endemic,Solitary,Reef Crest,Omnivore,27.640204080542553,0.5058537234132056
Western Reef,Jellyfish,29,Endemic,Schooling,Deep,Herbivore,20.345358343538656,0.3919951350572214
Western Reef,Fish,23,Endemic,Aggressive,Reef Crest,Herbivore,24.67913498608341,0.7118602105116117
Eastern Reef,Jellyfish,93,Invasive,Aggressive,Deep,Omnivore,28.549427551878154,0.22410972279893837
Eastern Reef,Jellyfish,2,Endemic,Solitary,Shallow,Herbivore,20.412954132775234,0.8411191215441937
Eastern Reef,Jellyfish,60,Invasive,Schooling,Shallow,Omnivore,28.515356367171943,0.877075805839784
Northern Reef,Crab,23,Endemic,Schooling,Deep,Omnivore,24.19297721449419,0.35754443796185853
Eastern Reef,Jellyfish,37,Invasive,Solitary,Reef Crest,Carnivore,29.20346045830683,0.47171116958165404
Eastern Reef,Crab,48,Invasive,Schooling,Deep,Herbivore,23.100287180389394,0.44895911423448165
Western Reef,Fish,57,Invasive,Aggressive,Reef Crest,Carnivore,21.92800896714205,0.3155446726572729
Northern Reef,Fish,31,Endemic,Schooling,Deep,Omnivore,23.663230556681864,0.8173361078709614
Western Reef,Fish,52,Endemic,Schooling,Deep,Herbivore,26.0930255261731,0.6249598016267786
Eastern Reef,Jellyfish,22,Invasive,Solitary,Deep,Herbivore,22.20729449860226,0.6594681481427132
Southern Reef,Crab,21,Endemic,Solitary,Deep,Herbivore,28.31235655093347,0.6261873138519307
Eastern Reef,Fish,97,Invasive,Solitary,Shallow,Herbivore,24.23211627288914,0.41683752986225575
Northern Reef,Fish,65,Endemic,Solitary,Shallow,Carnivore,22.13031598051734,0.12118529163337532
Southern Reef,Coral,51,Invasive,Schooling,Deep,Omnivore,24.71023004309093,0.21128795387932764
Northern Reef,Jellyfish,34,Invasive,Solitary,Deep,Omnivore,26.83416772159102,0.37114356271746585
Eastern Reef,Crab,34,Endemic,Solitary,Deep,Carnivore,25.781524628191864,0.4129274842094883
Southern Reef,Fish,43,Invasive,Solitary,Reef Crest,Omnivore,23.609432611692704,0.8111628385721306
Eastern Reef,Fish,79,Endemic,Solitary,Deep,Carnivore,29.273841548663157,0.259198280427208
Western Reef,Fish,66,Endemic,Solitary,Deep,Herbivore,20.396371317394618,0.8726181942603337
Western Reef,Jellyfish,10,Invasive,Solitary,Reef Crest,Herbivore,23.5586209042295,0.63791977292835
Northern Reef,Crab,57,Endemic,Solitary,Deep,Carnivore,25.078584513431387,0.837690307561351
Eastern Reef,Jellyfish,34,Invasive,Schooling,Deep,Herbivore,25.88081838448904,0.45860731354064255
Western Reef,Crab,19,Invasive,Schooling,Shallow,Carnivore,23.646445314872803,0.26431291960000547
Southern Reef,Jellyfish,92,Endemic,Aggressive,Deep,Carnivore,28.339475958348856,0.31771610974669856
Western Reef,Coral,76,Invasive,Solitary,Reef Crest,Carnivore,24.563752517683483,0.5710643955033972
Western Reef,Fish,1,Endemic,Solitary,Deep,Omnivore,25.06913096990599,0.2524254429963153
Southern Reef,Coral,76,Endemic,Schooling,Reef Crest,Herbivore,29.284311154432707,0.3081410756767549
Southern Reef,Fish,62,Invasive,Schooling,Reef Crest,Omnivore,27.613738185385657,0.5686718534499426
Eastern Reef,Jellyfish,73,Endemic,Solitary,Shallow,Herbivore,26.34827182141215,0.24708381964427933
Eastern Reef,Jellyfish,41,Invasive,Schooling,Reef Crest,Omnivore,25.149776835396295,0.594410365024515
Western Reef,Fish,22,Endemic,Schooling,Shallow,Herbivore,25.468100776305327,0.38486155948435685
Western Reef,Fish,40,Endemic,Aggressive,Shallow,Carnivore,29.72297431551141,0.8817598421880491
Eastern Reef,Crab,43,Endemic,Aggressive,Reef Crest,Carnivore,29.60376549811636,0.3273177400100356
Western Reef,Coral,79,Endemic,Schooling,Shallow,Omnivore,20.097733166268743,0.4482384369467234
Western Reef,Crab,40,Invasive,Solitary,Deep,Herbivore,21.73295533811882,0.7120199056744588
Southern Reef,Coral,26,Endemic,Aggressive,Reef Crest,Carnivore,20.123191636518207,0.8000020436873314
Southern Reef,Coral,11,Invasive,Aggressive,Shallow,Omnivore,24.5868536680308,0.8764101647516492
Eastern Reef,Jellyfish,29,Invasive,Solitary,Shallow,Herbivore,27.67635616213646,0.11299122425063937
Western Reef,Coral,3,Endemic,Schooling,Reef Crest,Herbivore,23.668092306144366,0.47382135341120335
Northern Reef,Jellyfish,20,Invasive,Solitary,Reef Crest,Carnivore,23.5582003456013,0.3611241137525749
Western Reef,Crab,64,Invasive,Aggressive,Reef Crest,Carnivore,21.592309015246453,0.3921629221555174
Eastern Reef,Fish,24,Invasive,Schooling,Shallow,Carnivore,29.0714494086201,0.284161501819019
Western Reef,Coral,13,Endemic,Aggressive,Shallow,Carnivore,20.508856498921386,0.8679977605437011
Western Reef,Crab,16,Invasive,Solitary,Shallow,Carnivore,23.603274346995796,0.876892397165599
Eastern Reef,Crab,7,Invasive,Schooling,Reef Crest,Carnivore,20.393409573536406,0.3654859132308945
Eastern Reef,Coral,13,Endemic,Solitary,Reef Crest,Omnivore,28.589255094968067,0.45566496268975054
Northern Reef,Fish,36,Invasive,Schooling,Shallow,Herbivore,21.372022451561858,0.8425335846118783
Western Reef,Jellyfish,48,Endemic,Solitary,Reef Crest,Herbivore,25.32770626488589,0.37968437641051656
Eastern Reef,Jellyfish,79,Endemic,Aggressive,Shallow,Omnivore,29.77134042365534,0.15358961431089774
Southern Reef,Fish,43,Endemic,Schooling,Shallow,Herbivore,26.695860917510007,0.8005433962621703
Western Reef,Jellyfish,81,Endemic,Solitary,Reef Crest,Omnivore,23.589866111354223,0.7077897710677303
Eastern Reef,Fish,68,Invasive,Schooling,Reef Crest,Herbivore,22.110705960420148,0.3082815239723978
Southern Reef,Jellyfish,27,Invasive,Solitary,Deep,Carnivore,25.9918327400992,0.10792791563754722
Southern Reef,Fish,6,Invasive,Schooling,Deep,Herbivore,26.855649748597166,0.7573339734787881
Western Reef,Jellyfish,40,Endemic,Aggressive,Reef Crest,Herbivore,25.96253013210734,0.4721396753958935
Southern Reef,Jellyfish,21,Invasive,Schooling,Deep,Omnivore,26.97145150837588,0.27684569157238026
Western Reef,Fish,49,Invasive,Schooling,Shallow,Carnivore,29.705852704471134,0.687218164801482
Northern Reef,Jellyfish,69,Endemic,Schooling,Shallow,Carnivore,23.159216757730704,0.3937241145548749
Eastern Reef,Jellyfish,85,Invasive,Solitary,Deep,Omnivore,28.010578671867933,0.33676477299441343
Southern Reef,Jellyfish,54,Invasive,Schooling,Shallow,Herbivore,20.48996948121448,0.3515943557911464
Northern Reef,Coral,2,Endemic,Solitary,Deep,Carnivore,25.892521885233073,0.3483122044318992
Southern Reef,Coral,52,Invasive,Aggressive,Deep,Herbivore,23.669952930164953,0.7663566709463432
Eastern Reef,Fish,36,Endemic,Aggressive,Reef Crest,Omnivore,24.893280314576952,0.4978322378440415
Eastern Reef,Crab,18,Endemic,Solitary,Reef Crest,Omnivore,26.08179154177811,0.8075182228172121
Eastern Reef,Fish,59,Endemic,Aggressive,Shallow,Omnivore,28.678326102314138,0.6403764360025757
Western Reef,Crab,42,Invasive,Solitary,Reef Crest,Omnivore,25.536316057084516,0.18015569125642694
Western Reef,Fish,74,Endemic,Aggressive,Reef Crest,Omnivore,29.74212152408934,0.6596506786936527
Eastern Reef,Fish,84,Endemic,Solitary,Deep,Omnivore,22.230619686319343,0.6883474192840184
Northern Reef,Coral,60,Endemic,Schooling,Deep,Omnivore,29.372190344354532,0.6240312775476378
Southern Reef,Fish,67,Invasive,Solitary,Deep,Omnivore,23.334160856717254,0.18282482405109707
Northern Reef,Fish,10,Invasive,Solitary,Shallow,Herbivore,26.39540195222154,0.6506396745066092
Northern Reef,Fish,40,Invasive,Aggressive,Shallow,Carnivore,23.0010775741269,0.3630243288583357
Eastern Reef,Jellyfish,63,Invasive,Solitary,Shallow,Carnivore,23.56975884513886,0.5453394208976462
Southern Reef,Jellyfish,84,Invasive,Aggressive,Reef Crest,Carnivore,28.73855981986769,0.8426435373518617
Northern Reef,Jellyfish,69,Invasive,Solitary,Deep,Herbivore,20.37993248693031,0.4288926063230043
Western Reef,Crab,87,Endemic,Schooling,Shallow,Herbivore,22.503359050717968,0.8843953679708525
Northern Reef,Jellyfish,6,Endemic,Aggressive,Reef Crest,Omnivore,23.23852866083731,0.7221718932018989
Eastern Reef,Fish,97,Invasive,Schooling,Reef Crest,Herbivore,27.108719709555682,0.1345609130462954
Southern Reef,Coral,66,Invasive,Solitary,Deep,Herbivore,29.300686807250575,0.3450815813915924
Western Reef,Crab,82,Endemic,Solitary,Reef Crest,Carnivore,28.402972017480852,0.39794681545070887
Northern Reef,Fish,18,Invasive,Solitary,Deep,Omnivore,23.085474665206984,0.1329482991512272
Eastern Reef,Jellyfish,28,Invasive,Solitary,Deep,Herbivore,24.973231155787996,0.6407839558649943
Northern Reef,Fish,61,Invasive,Aggressive,Deep,Carnivore,23.422133351540765,0.3860006701804962
Western Reef,Crab,65,Invasive,Solitary,Shallow,Carnivore,28.053305791987224,0.49896124752553594
Northern Reef,Crab,92,Invasive,Schooling,Deep,Omnivore,24.074110308541485,0.3665459737814656
Southern Reef,Jellyfish,81,Endemic,Aggressive,Deep,Omnivore,23.088185975618828,0.2464021979002686
Northern Reef,Crab,43,Invasive,Aggressive,Shallow,Carnivore,25.813398737304716,0.34121034388954663
Southern Reef,Jellyfish,51,Endemic,Aggressive,Deep,Herbivore,23.801952713032634,0.5145283292179096
Southern Reef,Jellyfish,62,Endemic,Solitary,Reef Crest,Omnivore,23.40585641739954,0.40741827292891764
Southern Reef,Fish,53,Endemic,Aggressive,Deep,Herbivore,21.48877225282901,0.41407619937296325
Eastern Reef,Jellyfish,98,Invasive,Solitary,Shallow,Herbivore,21.929537740027172,0.7604108172412491
Southern Reef,Crab,52,Invasive,Aggressive,Reef Crest,Omnivore,22.257141332227686,0.6385335372902883
Western Reef,Fish,12,Endemic,Solitary,Deep,Carnivore,28.428140458678257,0.2688067335745047
Southern Reef,Jellyfish,55,Invasive,Aggressive,Shallow,Omnivore,26.46286698977692,0.6039270176104157
Northern Reef,Fish,91,Endemic,Solitary,Deep,Omnivore,26.308975815578545,0.7256900353914001
Southern Reef,Crab,56,Endemic,Aggressive,Shallow,Carnivore,25.919616198837293,0.5389714135167653
Eastern Reef,Jellyfish,67,Endemic,Schooling,Shallow,Carnivore,22.741066383886285,0.3665896551844967
Western Reef,Crab,40,Endemic,Aggressive,Reef Crest,Carnivore,27.622876523745525,0.32987747045758253
Western Reef,Jellyfish,50,Endemic,Solitary,Deep,Omnivore,22.649736667124596,0.8151923465471457
Western Reef,Coral,85,Invasive,Solitary,Deep,Carnivore,23.529012960980044,0.42933048269486584
Northern Reef,Coral,58,Endemic,Aggressive,Reef Crest,Herbivore,20.47522826664377,0.40660587810079507
Southern Reef,Fish,11,Endemic,Schooling,Reef Crest,Herbivore,22.199869714297463,0.32201243557346193
Western Reef,Fish,75,Invasive,Aggressive,Reef Crest,Omnivore,24.29901929953104,0.519964732509182
Eastern Reef,Crab,40,Invasive,Aggressive,Deep,Carnivore,26.533274022183367,0.28342750393528054
Western Reef,Jellyfish,80,Endemic,Schooling,Deep,Omnivore,21.65813546010129,0.6124826806690948
Northern Reef,Crab,97,Invasive,Solitary,Reef Crest,Herbivore,23.085063815330546,0.8220251873175058
Western Reef,Jellyfish,14,Endemic,Schooling,Deep,Omnivore,26.792397911140036,0.3746494387087347
Northern Reef,Fish,78,Endemic,Solitary,Reef Crest,Herbivore,22.98707403812726,0.45842039316736527
Eastern Reef,Coral,33,Endemic,Schooling,Deep,Herbivore,29.115177327566645,0.7750666128433369
Southern Reef,Crab,27,Endemic,Aggressive,Shallow,Omnivore,21.154518975172074,0.5803583050941086
Western Reef,Fish,53,Invasive,Schooling,Shallow,Omnivore,27.553103539942487,0.8036040773600343
Northern Reef,Fish,66,Endemic,Aggressive,Reef Crest,Carnivore,29.693546199369116,0.22827504839166146
Northern Reef,Fish,26,Invasive,Aggressive,Shallow,Carnivore,22.678275828570506,0.7331342351047584
Southern Reef,Coral,24,Invasive,Aggressive,Shallow,Carnivore,24.48125674381311,0.4112441636425903
Southern Reef,Crab,35,Invasive,Solitary,Shallow,Omnivore,26.555641695882997,0.8732370298704079
Western Reef,Fish,61,Endemic,Schooling,Reef Crest,Herbivore,26.494544952898153,0.8449337449184283
Eastern Reef,Coral,9,Invasive,Schooling,Deep,Carnivore,27.910497288361817,0.23299172213972297
Eastern Reef,Crab,91,Endemic,Schooling,Reef Crest,Carnivore,26.07821766894599,0.7581083828285281
Northern Reef,Fish,93,Endemic,Solitary,Reef Crest,Carnivore,29.926578315348394,0.8399864476935439
Western Reef,Fish,98,Endemic,Aggressive,Shallow,Herbivore,28.935697691374344,0.5696834441948434
Western Reef,Fish,8,Invasive,Schooling,Deep,Carnivore,24.427387410187716,0.7489134101656257
Northern Reef,Crab,40,Invasive,Schooling,Shallow,Carnivore,27.498116019987698,0.39857774075911756
Northern Reef,Jellyfish,1,Invasive,Aggressive,Shallow,Herbivore,20.168316671976815,0.3020066211885807
Eastern Reef,Coral,76,Invasive,Aggressive,Deep,Carnivore,23.741187348307175,0.5618071453695553
Western Reef,Crab,51,Invasive,Solitary,Deep,Herbivore,27.419212274894047,0.5116323348973534
Eastern Reef,Jellyfish,57,Endemic,Aggressive,Shallow,Herbivore,23.014210274682462,0.737151216439903
Eastern Reef,Fish,80,Invasive,Aggressive,Shallow,Herbivore,29.68884996006104,0.5732355743884824
Northern Reef,Coral,52,Endemic,Aggressive,Reef Crest,Carnivore,26.988328748684438,0.13394960355844834
Southern Reef,Crab,55,Invasive,Solitary,Deep,Omnivore,22.817461675698194,0.2668522496358494
Southern Reef,Crab,90,Endemic,Aggressive,Reef Crest,Carnivore,25.027582573563347,0.7225823415441675
Eastern Reef,Coral,38,Invasive,Aggressive,Deep,Carnivore,27.174570267548887,0.6577427276961205
Western Reef,Coral,82,Endemic,Aggressive,Deep,Herbivore,28.28778127314917,0.8927535063256616
Eastern Reef,Coral,92,Invasive,Aggressive,Shallow,Carnivore,25.746566479106214,0.5110497187327251
Eastern Reef,Crab,68,Endemic,Solitary,Reef Crest,Omnivore,23.59900102940539,0.6993171744722254
Southern Reef,Jellyfish,89,Endemic,Aggressive,Shallow,Carnivore,27.19482961482118,0.4356680875882575
Northern Reef,Jellyfish,18,Invasive,Aggressive,Shallow,Carnivore,25.920833718784,0.835023652877639
Eastern Reef,Fish,44,Endemic,Solitary,Reef Crest,Carnivore,25.773228093643013,0.29244472260338816
Western Reef,Jellyfish,26,Invasive,Aggressive,Deep,Herbivore,23.460678840786926,0.3141654231417045
Western Reef,Jellyfish,42,Endemic,Solitary,Deep,Herbivore,22.10607533191732,0.7306345824762476
Western Reef,Fish,48,Endemic,Schooling,Reef Crest,Herbivore,22.851762340733128,0.820121965710116
Southern Reef,Crab,41,Invasive,Solitary,Deep,Omnivore,28.914473064756848,0.5406636306355191
Southern Reef,Jellyfish,6,Endemic,Aggressive,Deep,Herbivore,22.261697796253284,0.8508403285104763
Southern Reef,Jellyfish,59,Invasive,Solitary,Deep,Herbivore,24.8984433857294,0.36810816746509434
Southern Reef,Jellyfish,99,Invasive,Schooling,Shallow,Omnivore,28.0514714511188,0.7959625362326402
Western Reef,Crab,26,Invasive,Aggressive,Reef Crest,Herbivore,27.532062764389103,0.5768057737067918
Southern Reef,Jellyfish,70,Invasive,Schooling,Shallow,Carnivore,28.964236228720015,0.8973673067483391
Eastern Reef,Fish,17,Invasive,Solitary,Shallow,Omnivore,26.862433657343097,0.1555966732431916
Eastern Reef,Coral,55,Invasive,Aggressive,Shallow,Omnivore,27.093175017471278,0.4560138438944048
Eastern Reef,Coral,42,Invasive,Schooling,Reef Crest,Carnivore,28.979476523110048,0.22293765873993207
Eastern Reef,Fish,72,Invasive,Solitary,Shallow,Herbivore,21.88135000163178,0.6310672603085492
Southern Reef,Fish,76,Invasive,Aggressive,Shallow,Herbivore,27.89621508565886,0.8662724125609539
Southern Reef,Jellyfish,45,Invasive,Solitary,Shallow,Carnivore,24.53130229128604,0.837682069961521
Eastern Reef,Coral,18,Endemic,Aggressive,Deep,Omnivore,28.50239171210923,0.385420969886903
Western Reef,Coral,84,Endemic,Aggressive,Reef Crest,Omnivore,23.753098661168636,0.4450432681890115
Western Reef,Coral,40,Endemic,Aggressive,Reef Crest,Herbivore,27.75903292597569,0.6886373054671926
Northern Reef,Fish,39,Endemic,Schooling,Reef Crest,Herbivore,28.536599308506986,0.6863774827129298
Northern Reef,Crab,76,Invasive,Solitary,Reef Crest,Omnivore,21.582272641145252,0.6704000466272514
Northern Reef,Coral,44,Endemic,Solitary,Shallow,Omnivore,26.76403909518057,0.8790185329032704
Southern Reef,Jellyfish,5,Endemic,Aggressive,Deep,Carnivore,24.84967114461739,0.42908190235704424
Eastern Reef,Coral,82,Endemic,Schooling,Reef Crest,Omnivore,28.668336077667654,0.6620921363367244
Western Reef,Jellyfish,95,Invasive,Solitary,Reef Crest,Herbivore,21.2767574261822,0.8373540510933907
Southern Reef,Jellyfish,73,Endemic,Solitary,Reef Crest,Herbivore,20.569970190237896,0.7127204149888591
Eastern Reef,Fish,28,Endemic,Solitary,Shallow,Herbivore,25.050508948270476,0.22343995856431356
Southern Reef,Coral,9,Invasive,Schooling,Reef Crest,Carnivore,29.149126265953456,0.23820152176970633
Western Reef,Crab,92,Invasive,Aggressive,Shallow,Omnivore,27.834153505789008,0.4652643177761968
Eastern Reef,Crab,66,Endemic,Solitary,Deep,Omnivore,26.526336470890765,0.21377435192817487
Northern Reef,Coral,28,Invasive,Aggressive,Deep,Omnivore,24.824242705409105,0.6865949182158951
Eastern Reef,Fish,38,Invasive,Solitary,Deep,Herbivore,21.344428095968787,0.2583751206218462
